,Cr,Mr,Popsize,Generasi,Best Fitness,Average Fitness,msg
37,0.5,0.2,10,20,0.14461315979754127,0.14017269634861276,0.49 detik
38,0.5,0.3,10,20,0.14461315979754127,0.1376115767964697,0.46 detik
39,0.5,0.4,10,20,0.13966480446927346,0.13537127030455445,0.42 detik
40,0.5,0.5,10,20,0.1356852103120757,0.13267995150749728,0.43 detik
41,0.5,0.6,10,20,0.1356852103120757,0.13568521031207575,0.42 detik
42,0.5,0.7,10,20,0.14684287812041086,0.14087167394787964,0.46 detik
43,0.5,0.8,10,20,0.13764624913971066,0.13395168883963987,0.42 detik
44,0.5,0.9,10,20,0.14316392269148145,0.13835671441884695,0.43 detik
45,0.6,0.1,10,20,0.14104372355430153,0.13283762433377164,0.48 detik
46,0.6,0.2,10,20,0.1389854065323138,0.13152149501274893,0.43 detik
47,0.6,0.3,10,20,0.1389854065323138,0.1330001505546114,0.45 detik
48,0.6,0.4,10,20,0.14316392269148145,0.13607629372791102,0.42 detik
49,0.6,0.5,10,20,0.14609203798392958,0.13842119839900635,0.41 detik
50,0.6,0.6,10,20,0.13698630136986273,0.13138916846599,0.41 detik
51,0.6,0.7,10,20,0.1417434443656978,0.13915025378427187,0.42 detik
52,0.6,0.8,10,20,0.13698630136986273,0.13091067246941093,0.49 detik
53,0.6,0.9,10,20,0.1389854065323138,0.13543939052734758,0.42 detik
54,0.7,0.1,10,20,0.14104372355430153,0.13660591468792682,0.43 detik
55,0.7,0.2,10,20,0.14609203798392958,0.1323628653092797,0.41 detik
56,0.7,0.3,10,20,0.1356852103120757,0.13568521031207575,0.44 detik
57,0.7,0.4,10,20,0.13377926421404654,0.13095553222665499,0.44 detik
58,0.7,0.5,10,20,0.1350438892640105,0.13311531558637352,0.42 detik
59,0.7,0.6,10,20,0.1350438892640105,0.13354041852866563,0.42 detik
60,0.7,0.7,10,20,0.14534883720930203,0.1418169135767496,0.50 detik
61,0.7,0.8,10,20,0.1350438892640105,0.13109544932566236,0.42 detik
62,0.7,0.9,10,20,0.1417434443656978,0.1377929490611028,0.43 detik
63,0.8,0.1,10,20,0.15151515151515121,0.141045402145474,0.43 detik
64,0.8,0.2,10,20,0.13764624913971066,0.13275653853266567,0.43 detik
65,0.8,0.3,10,20,0.15071590052750536,0.1366645567127073,0.41 detik
66,0.8,0.4,10,20,0.13966480446927346,0.13066651457217987,0.43 detik
67,0.8,0.5,10,20,0.14684287812041086,0.1370430718123074,0.45 detik
68,0.8,0.6,10,20,0.13966480446927346,0.1379567748431489,0.46 detik
69,0.8,0.7,10,20,0.14534883720930203,0.138664398983563,0.46 detik
70,0.8,0.8,10,20,0.13012361743656445,0.13012361743656445,0.43 detik
71,0.8,0.9,10,20,0.13831258644536623,0.13292824410715517,0.42 detik
72,0.9,0.1,10,20,0.1417434443656978,0.13817921135505437,0.43 detik
73,0.9,0.2,10,20,0.13831258644536623,0.13247925525652313,0.43 detik
74,0.9,0.3,10,20,0.13764624913971066,0.13352709558738846,0.42 detik
75,0.9,0.4,10,20,0.14461315979754127,0.14031983599902534,0.41 detik
76,0.9,0.5,10,20,0.14388489208633062,0.1366395888786329,0.47 detik
77,0.9,0.6,10,20,0.13315579227696375,0.13067922319355166,0.43 detik
78,0.9,0.7,10,20,0.14035087719298217,0.13495204152717516,0.41 detik
79,0.9,0.8,10,20,0.14035087719298217,0.13782345044669692,0.45 detik
80,0.9,0.9,10,20,0.1483679525222549,0.1414691723094087,0.42 detik
